Nama Provinsi,Tahun,Rencana Jumlah Keluarga Penerima BANSOS,Realisasi Jumlah Keluarga Penerima BANSOS,Rencana Anggaran BANSOS,Realisasi Anggaran BANSOS
SUMATERA UTARA,2022,4502886,4173274,1810200000000,1721290000000
SUMATERA BARAT,2022,1931362,1793037,767604000000,730855000000
RIAU,2022,1899585,1720257,655731000000,608237000000
JAMBI,2022,1068156,976860,432568000000,410323000000
SUMATERA SELATAN,2022,3347182,3023782,1153250000000,1076540000000
BENGKULU,2022,1032894,936300,355631000000,332635000000
LAMPUNG,2022,4866705,4504276,1674840000000,1587840000000
KEPULAUAN BANGKA BELITUNG,2022,238464,220955,118283000000,112220000000
KEPULAUAN RIAU,2022,447530,394277,156231000000,142301000000
DKI JAKARTA,2022,1705446,1523154,573692000000,528960000000
JAWA BARAT,2022,27538567,26184572,9469880000000,9150840000000
JAWA TENGAH,2022,22617515,21394777,7768650000000,7477230000000
DI YOGYAKARTA,2022,2379560,2272724,817485000000,790794000000
JAWA TIMUR,2022,21815543,20862092,7489730000000,7236110000000
BANTEN,2022,3749967,3225853,1288500000000,1161350000000
BALI,2022,1171652,1076773,402678000000,380848000000
NUSA TENGGARA BARAT,2022,3295693,2907199,1130920000000,1046010000000
NUSA TENGGARA TIMUR,2022,2682765,2356889,1019640000000,944207000000
KALIMANTAN BARAT,2022,2057626,1889356,763905000000,720239000000
KALIMANTAN TENGAH,2022,584058,527945,229384000000,212466000000
KALIMANTAN SELATAN,2022,1138777,1001571,407910000000,372601000000
KALIMANTAN TIMUR,2022,766007,643543,267428000000,235307000000
KALIMANTAN UTARA,2022,182955,160360,63124600000,56845800000
SULAWESI UTARA,2022,983976,858621,339174000000,308569000000
SULAWESI TENGAH,2022,1466193,1321210,504486000000,468545000000
SULAWESI SELATAN,2022,4187296,3867489,1462540000000,1376420000000
SULAWESI TENGGARA,2022,1345717,1204426,462357000000,427742000000
GORONTALO,2022,799363,708365,274310000000,253421000000
SULAWESI BARAT,2022,716754,649584,248567000000,232952000000
MALUKU,2022,642091,551155,240662000000,214279000000
MALUKU UTARA,2022,367665,299945,133850000000,116302000000
PAPUA BARAT,2022,282975,258720,169506000000,155061000000
PAPUA,2022,1500427,1205586,899933000000,723130000000
ACEH,2023,2836431,2780856,1148840000000,1125970000000
SUMATERA UTARA,2023,4032602,3921537,1856430000000,1807640000000
SUMATERA BARAT,2023,1690918,1648519,767793000000,749225000000
RIAU,2023,1581499,1516642,647289000000,620175000000
JAMBI,2023,911976,885167,418025000000,406598000000
SUMATERA SELATAN,2023,2780093,2706411,1134160000000,1103550000000
BENGKULU,2023,844224,819660,344977000000,334749000000
LAMPUNG,2023,4132087,4060111,1688320000000,1658070000000
KEPULAUAN BANGKA BELITUNG,2023,207326,200624,108366000000,105160000000
KEPULAUAN RIAU,2023,362279,340268,153123000000,143861000000
DKI JAKARTA,2023,1214775,1150459,497487000000,470877000000
JAWA BARAT,2023,22544043,22178797,9378430000000,9224720000000
JAWA TENGAH,2023,18324332,18023086,7595520000000,7468470000000
DI YOGYAKARTA,2023,1978336,1943250,804433000000,789653000000
JAWA TIMUR,2023,17532809,17198004,7271280000000,7128410000000
BANTEN,2023,2910539,2847802,1316260000000,1290190000000
BALI,2023,916993,889385,389464000000,378092000000
NUSA TENGGARA BARAT,2023,2886174,2803629,1188830000000,1154710000000
NUSA TENGGARA TIMUR,2023,2774169,2665239,1290040000000,1237490000000
KALIMANTAN BARAT,2023,1734405,1678082,747314000000,723501000000
KALIMANTAN TENGAH,2023,498179,472280,228965000000,217174000000
KALIMANTAN SELATAN,2023,915416,890269,383357000000,372566000000
KALIMANTAN TIMUR,2023,554184,506308,228820000000,209033000000
KALIMANTAN UTARA,2023,146836,135374,59973800000,55234600000
SULAWESI UTARA,2023,801469,774603,325523000000,314486000000
SULAWESI TENGAH,2023,1225743,1188537,504183000000,488540000000
SULAWESI SELATAN,2023,3545017,3448517,1468810000000,1427780000000
SULAWESI TENGGARA,2023,1107968,1071020,453887000000,438506000000
GORONTALO,2023,668950,656150,272318000000,266996000000
SULAWESI BARAT,2023,612864,594010,251188000000,243430000000
MALUKU,2023,551488,523857,240767000000,229135000000
MALUKU UTARA,2023,316119,289715,135891000000,124682000000
PAPUA BARAT,2023,188142,162705,112878000000,97623000000
PAPUA BARAT DAYA,2023,197764,177382,118646000000,106429000000
PAPUA,2023,287256,255228,172335000000,153137000000
PAPUA SELATAN,2023,228347,226433,137005000000,135860000000
PAPUA TENGAH,2023,848653,817781,509171000000,490669000000
PAPUA PEGUNUNGAN,2023,659084,655047,395449000000,393028000000
