Nama Provinsi,Tahun,Tingkat Pengangguran
KALIMANTAN BARAT,2016,4.23
KALIMANTAN BARAT,2017,4.36
KALIMANTAN BARAT,2018,4.18
KALIMANTAN BARAT,2019,4.35
KALIMANTAN BARAT,2020,5.81
KALIMANTAN BARAT,2021,5.82
KALIMANTAN BARAT,2022,5.11
KALIMANTAN BARAT,2023,5.05
KALIMANTAN BARAT,2024,4.86
KALIMANTAN SELATAN,1986,1.99
KALIMANTAN SELATAN,1987,1.32
KALIMANTAN SELATAN,1988,1.29
KALIMANTAN SELATAN,1989,1.69
KALIMANTAN SELATAN,1990,1.6
KALIMANTAN SELATAN,1991,2.0
KALIMANTAN SELATAN,1992,2.35
KALIMANTAN SELATAN,1993,2.39
KALIMANTAN SELATAN,1994,2.96
KALIMANTAN SELATAN,1996,3.33
KALIMANTAN SELATAN,1997,2.84
KALIMANTAN SELATAN,1998,4.16
KALIMANTAN SELATAN,1999,2.37
KALIMANTAN SELATAN,2000,3.97
KALIMANTAN SELATAN,2001,5.91
KALIMANTAN SELATAN,2002,9.22
KALIMANTAN SELATAN,2003,7.67
KALIMANTAN SELATAN,2004,6.02
KALIMANTAN SELATAN,2005,7.34
KALIMANTAN SELATAN,2006,8.87
KALIMANTAN SELATAN,2007,7.62
KALIMANTAN SELATAN,2008,6.18
KALIMANTAN SELATAN,2009,6.36
KALIMANTAN SELATAN,2010,5.25
KALIMANTAN SELATAN,2011,6.29
KALIMANTAN SELATAN,2012,5.19
KALIMANTAN SELATAN,2013,3.66
KALIMANTAN SELATAN,2014,3.8
KALIMANTAN SELATAN,2015,4.92
KALIMANTAN SELATAN,2016,5.45
KALIMANTAN SELATAN,2017,4.77
KALIMANTAN SELATAN,2018,4.35
KALIMANTAN SELATAN,2019,4.18
KALIMANTAN SELATAN,2020,4.74
KALIMANTAN SELATAN,2021,4.95
KALIMANTAN SELATAN,2022,4.74
KALIMANTAN SELATAN,2023,4.31
KALIMANTAN SELATAN,2024,4.2
KALIMANTAN TENGAH,1986,1.17
KALIMANTAN TENGAH,1987,0.63
KALIMANTAN TENGAH,1988,1.53
KALIMANTAN TENGAH,1989,1.16
KALIMANTAN TENGAH,1990,1.64
KALIMANTAN TENGAH,1991,0.88
KALIMANTAN TENGAH,1992,1.31
KALIMANTAN TENGAH,1993,1.24
KALIMANTAN TENGAH,1994,4.4
KALIMANTAN TENGAH,1996,3.0
KALIMANTAN TENGAH,1997,3.98
KALIMANTAN TENGAH,1998,4.49
KALIMANTAN TENGAH,1999,3.67
KALIMANTAN TENGAH,2000,3.7
KALIMANTAN TENGAH,2001,6.14
KALIMANTAN TENGAH,2002,6.38
KALIMANTAN TENGAH,2003,7.59
KALIMANTAN TENGAH,2004,5.59
KALIMANTAN TENGAH,2005,4.91
KALIMANTAN TENGAH,2006,6.68
KALIMANTAN TENGAH,2007,5.11
KALIMANTAN TENGAH,2008,4.59
KALIMANTAN TENGAH,2009,4.62
KALIMANTAN TENGAH,2010,4.14
KALIMANTAN TENGAH,2011,3.54
KALIMANTAN TENGAH,2012,3.14
KALIMANTAN TENGAH,2013,3.0
KALIMANTAN TENGAH,2014,3.24
KALIMANTAN TENGAH,2015,4.54
KALIMANTAN TENGAH,2016,4.82
KALIMANTAN TENGAH,2017,4.23
KALIMANTAN TENGAH,2018,3.91
KALIMANTAN TENGAH,2019,4.04
KALIMANTAN TENGAH,2020,4.58
KALIMANTAN TENGAH,2021,4.53
KALIMANTAN TENGAH,2022,4.26
KALIMANTAN TENGAH,2023,4.1
KALIMANTAN TENGAH,2024,4.01
KALIMANTAN TIMUR,1986,4.8
KALIMANTAN TIMUR,1987,3.87
KALIMANTAN TIMUR,1988,4.53
KALIMANTAN TIMUR,1989,3.11
KALIMANTAN TIMUR,1990,3.23
KALIMANTAN TIMUR,1991,3.53
KALIMANTAN TIMUR,1992,4.6
KALIMANTAN TIMUR,1993,3.98
KALIMANTAN TIMUR,1994,7.34
KALIMANTAN TIMUR,1996,7.6
KALIMANTAN TIMUR,1997,6.85
KALIMANTAN TIMUR,1998,8.45
KALIMANTAN TIMUR,1999,10.99
KALIMANTAN TIMUR,2000,8.88
KALIMANTAN TIMUR,2001,6.81
KALIMANTAN TIMUR,2002,11.76
KALIMANTAN TIMUR,2003,9.69
KALIMANTAN TIMUR,2004,10.39
KALIMANTAN TIMUR,2005,11.17
KALIMANTAN TIMUR,2006,13.43
KALIMANTAN TIMUR,2007,12.07
KALIMANTAN TIMUR,2008,11.11
KALIMANTAN TIMUR,2009,10.83
KALIMANTAN TIMUR,2010,10.1
KALIMANTAN TIMUR,2011,11.43
KALIMANTAN TIMUR,2012,9.02
KALIMANTAN TIMUR,2013,7.95
KALIMANTAN TIMUR,2014,7.38
KALIMANTAN TIMUR,2015,7.5
KALIMANTAN TIMUR,2016,7.95
KALIMANTAN TIMUR,2017,6.91
KALIMANTAN TIMUR,2018,6.41
KALIMANTAN TIMUR,2019,5.94
KALIMANTAN TIMUR,2020,6.87
KALIMANTAN TIMUR,2021,6.83
KALIMANTAN TIMUR,2022,5.71
KALIMANTAN TIMUR,2023,5.31
KALIMANTAN TIMUR,2024,5.14
KALIMANTAN UTARA,1986,
KALIMANTAN UTARA,1987,
KALIMANTAN UTARA,1988,
KALIMANTAN UTARA,1989,
KALIMANTAN UTARA,1990,
KALIMANTAN UTARA,1991,
KALIMANTAN UTARA,1992,
KALIMANTAN UTARA,1993,
KALIMANTAN UTARA,1994,
KALIMANTAN UTARA,1996,
KALIMANTAN UTARA,1997,
KALIMANTAN UTARA,1998,
KALIMANTAN UTARA,1999,
KALIMANTAN UTARA,2000,
KALIMANTAN UTARA,2001,
KALIMANTAN UTARA,2002,
KALIMANTAN UTARA,2003,
KALIMANTAN UTARA,2004,
KALIMANTAN UTARA,2005,
KALIMANTAN UTARA,2006,
KALIMANTAN UTARA,2007,
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
KALIMANTAN UTARA,2010,
